Nome,Categoria,Telefone,Website,Endereço,Avaliação,Total Avaliações,Latitude,Longitude,Link do Maps
DIAS & KUBCHEK ADVOGADOS,,(96) 99913-7616,,"R. Mamoeiro, 1195 - Renascer, Macapá - AP, 68901-283","5,0",259,0.0810961,-51.0547146,"https://www.google.com/maps/place/DIAS+%26+KUBCHEK+ADVOGADOS/@0.0810961,-51.0547146,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e76bc0b3d4d3:0x7a01b5b0dacd415a!8m2!3d0.0810961!4d-51.0547146!16s%2Fg%2F11h9930hnl?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
Advogado yuri,,(96) 98133-0251,https://wa.me/5596981330252,"Av. Equatorial, 1464 - Araxá, Macapá - AP, 68903-361","5,0",24,,,https://www.google.com/maps/place/Advogado+yuri/data=!4m7!3m6!1s0x8d61e1df5b8d38e9:0x5013a2a988addab6!8m2!3d0.0005174!4d-51.070567!16s%2Fg%2F11gfd44vg5!19sChIJ6TiNW9_hYY0RttqtiKmiE1A?authuser=0&hl=pt-BR&rclk=1
Advogado Saulo Coutinho,,(96) 99199-3420,https://www.advsaulocoutinho.com.br/,"R. Gen. Rondon, 1385 - Centro, Macapá - AP, 68900-082","4,9",41,,,https://www.google.com/maps/place/Advogado+Saulo+Coutinho/data=!4m7!3m6!1s0x8d61e1c29de4104d:0xeef4d83d343ccfd3!8m2!3d0.0402073!4d-51.0547707!16s%2Fg%2F11sg_xthz2!19sChIJTRDkncLhYY0R0888ND3Y9O4?authuser=0&hl=pt-BR&rclk=1
Advogado Jean Dias,,(96) 98434-5448,,"Av. Fab, 1708 - Central, Macapá - AP, 68900-073","4,1",38,0.041349,-51.0650992,"https://www.google.com/maps/place/Advogado+Jean+Dias/@0.041349,-51.0650992,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e1151b805ae3:0x8c2b2b108e79c86e!8m2!3d0.041349!4d-51.0650992!16s%2Fg%2F1tp0956w?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
Advogado Rafael Peçanha de Oliveira,,(96) 99188-1409,http://xn--peanhadeoliveiraadvocacia-ugc.com/?utm_source=gmb&utm_medium=referral,"Av. Pedro Baião, 1720 - A - Universidade, Macapá - AP, 68903-753","3,8",4,,,https://www.google.com/maps/place/Advogado+Rafael+Pe%C3%A7anha+de+Oliveira/data=!4m7!3m6!1s0x929e1fb6851ec6ff:0x85452e034753e451!8m2!3d0.0305993!4d-51.0696665!16s%2Fg%2F11rf6sr45p!19sChIJ_8YehbYfnpIRUeRTRwMuRYU?authuser=0&hl=pt-BR&rclk=1
Giusti e Marinho Advocacia,,(96) 98409-3839,,"Acelino de Leão, 607 - Centro, Macapá - AP, 68900-116","5,0",1,0.026312,-51.060988,"https://www.google.com/maps/place/Giusti+e+Marinho+Advocacia/@0.026312,-51.060988,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e1c131f23ae7:0x3e77144ea5c08b84!8m2!3d0.026312!4d-51.060988!16s%2Fg%2F11mvmvcrt_?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
Bianca Holanda Advocacia,,(96) 99126-5687,,"av raimundo alvares da costa 581, Av. Raimundo Álvares da Costa, 581 b - centro, Macapá - AP, 68900-074","5,0",160,0.0420301,-51.0555436,"https://www.google.com/maps/place/Bianca+Holanda+Advocacia/@0.0420301,-51.0555436,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e132b23e8f3b:0xeb5a7010abe7ea75!8m2!3d0.0420301!4d-51.0555436!16s%2Fg%2F11m75r78h7?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
SILVIA MOREIRA ADVOGADOS ASSOCIADOS,,(96) 99132-7966,https://silviamoreiraadvogados.com.br/,"R. Jovino Dinoá, 1489 - B - CENTRO, Macapá - AP, 68900-075","5,0",50,,,https://www.google.com/maps/place/SILVIA+MOREIRA+ADVOGADOS+ASSOCIADOS/data=!4m7!3m6!1s0x8d61e1a4ca110e5d:0x3fc10ba127d7e7da!8m2!3d0.0388357!4d-51.0598499!16s%2Fg%2F11rnntzd8z!19sChIJXQ4RyqThYY0R2ufXJ6ELwT8?authuser=0&hl=pt-BR&rclk=1
Carlos Balieiro-Advogado,,(96) 3242-3738,,"R. Barão de Mauá, 13 - Buritizal, Macapá - AP, 68902-740","5,0",1,0.0283533,-51.0745688,"https://www.google.com/maps/place/Carlos+Balieiro-Advogado/@0.0283533,-51.0745688,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e1a00533121d:0x385ba747c436060e!8m2!3d0.0283533!4d-51.0745688!16s%2Fg%2F1wrtdx6r?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
MAURÍCIO PEREIRA ADVOCACIA,,(96) 99112-2669,,"Av. Mendonça Júnior, 1931 - Central, Macapá - AP, 68900-020","4,6",34,0.0341573,-51.0674018,"https://www.google.com/maps/place/MAUR%C3%8DCIO+PEREIRA+ADVOCACIA/@0.0341573,-51.0674018,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e10fd8009ee5:0x818efa18488bf9d5!8m2!3d0.0341573!4d-51.0674018!16s%2Fg%2F1tdqjj9f?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
